property_id,lat,lng,addr_street,suburb,lga,closest_train_station_id,distance_to_closest_train_station,travel_min_to_MC,direct_journey_flag,30_sep_cases,last_14_days_cases,last_30_days_cases,last_60_days_cases
77315,-37.920629,145.170036,1 Anora Crescent,MULGRAVE,MACEDON RANGES,19914,3.382,33,1,1,1,1,0
11416,-37.780299,144.887693,36 Macedon Street,MARIBYRNONG,BAW BAW,20027,1.91,not available,0,3,0,0,0
49293,-37.806748,145.086094,25 Winmalee Road,BALWYN,HOBSONS BAY,19894,1.964,22,1,20,14,15,10
56240,-37.856238,145.130901,15 Rees Street,BURWOOD,MARIBYRNONG,19875,2.129,not available,0,22,7,5,3
66653,-37.7783377,145.3143445,7 Maralinga Terrace,MOOROOLBARK,WEST WIMMERA,19877,0.733,46,1,0,0,0,0
785,-37.7966957,144.9029083,29 Lynch Street,FOOTSCRAY,WHITTLESEA,20025,0.489,10,1,152,69,45,23
26955,-37.5923009,144.9328404,43 Southern Crescent,CRAIGIEBURN,YARRA RANGES,40221,1.404,41,1,5,3,2,1
50,-37.81221,144.95326,8 Phoenix Lane,WEST MELBOURNE,MANNINGHAM,19841,0.212,2,1,11,6,4,2
62537,-37.832033,145.246436,126 Heathmont Road,HEATHMONT,HORSHAM,19871,0.444,37,1,0,0,0,0
41057,-37.701236,145.059305,7 Doidge Street,BUNDOORA,WODONGA,19984,2.41,42,1,3,0,0,0
7475,-37.7414474,144.7710266,4 Oakwood Road,ALBANVALE,HEPBURN,20001,2.412,30,1,-1,0,0,0
73986,-37.8655036,145.2601639,79 Rathmullen Road,BORONIA,TOWONG,19869,2.199,44,1,0,0,0,0
6861,-37.7996178,144.8220978,6 Couper Angus Grove,SUNSHINE,KNOX,20021,1.554,20,1,23,5,3,2
90336,-37.969389,145.078701,23 Jacaranda Avenue,CHELTENHAM,YARRA RANGES,19865,1.825,43,1,5,3,2,1
57982,-37.815368,145.154681,30 Francis Street,BLACKBURN,GREATER GEELONG,19898,0.664,27,1,1,2,2,1
63914,-37.805066,145.269969,20-24 Croydon Way,CROYDON,CARDINIA,19878,1.421,42,1,25,10,5,3
62696,-37.834195,145.24506,20 Dickasons Road,HEATHMONT,HORSHAM,19871,0.655,37,1,0,0,0,0
88409,-37.952104,145.050288,11 Alfred Street,HIGHETT,GREATER DANDENONG,19872,0.844,37,1,36,9,6,3
83693,-37.85208,144.985656,21 Raleigh Street,WINDSOR,MAROONDAH,19958,0.466,not available,0,23,3,2,1
57402,-37.826465,145.084783,7 Margaret Street,CANTERBURY,MELBOURNE,19893,0.382,20,1,23,11,8,5
49861,-37.773905,145.101284,12 Darryl Street,BULLEEN,MARIBYRNONG,19935,4.03,34,1,22,7,5,3
77772,-37.923484,145.172156,25 Albany Drive,MULGRAVE,MACEDON RANGES,19913,3.326,35,1,1,1,1,0
83688,-37.852694,144.99013,21 Green Street,WINDSOR,MAROONDAH,19958,0.354,not available,0,23,3,2,1
4377,-37.846683,144.872802,"34 Challis Street,",NEWPORT,MANSFIELD,19994,1.046,not available,0,0,0,0,0
4072,-37.826012,144.872056,116 The Avenue,SPOTSWOOD,GREATER SHEPPARTON,19995,1.323,not available,0,5,0,1,2
16343,-37.71162,144.921321,11 Electric Avenue,GLENROY,WYNDHAM,20033,0.704,26,1,99,43,33,20
46033,-37.720504,145.119738,33a Astley Street,MONTMORENCY,PORT PHILLIP,19986,0.6,48,1,25,8,5,3
72797,-37.858463,145.288791,1/9 Rangeview Road,BORONIA,TOWONG,19869,0.446,44,1,0,0,0,0
72697,-37.845822,145.301151,1 Southern Aurora Place,BORONIA,TOWONG,19869,2.194,44,1,0,0,0,0
